# OS Process Scheduling Log
# Generated by: ITU CS-511 Lab Simulation
# Format: process_id | process_name | arrival_time | burst_time | priority | state
# priority: 1=lowest, 10=highest
# state: READY, RUNNING, WAITING, TERMINATED

P01 | sys_init        |  0 |  4 |  9 | TERMINATED
P02 | kernel_thread   |  1 |  7 |  8 | TERMINATED
P03 | user_shell      |  2 | 12 |  4 | TERMINATED
P04 | file_manager    |  3 |  5 |  6 | TERMINATED
P05 | network_daemon  |  4 | 18 |  7 | TERMINATED
P06 | disk_scheduler  |  5 |  3 | 10 | TERMINATED
P07 | memory_manager  |  6 |  9 |  8 | TERMINATED
P08 | user_app_A      |  7 | 25 |  2 | TERMINATED
P09 | user_app_B      |  8 | 22 |  3 | TERMINATED
P10 | interrupt_hdlr  |  9 |  2 | 10 | TERMINATED
P11 | swap_daemon     | 10 | 15 |  5 | TERMINATED
P12 | log_writer      | 11 |  6 |  4 | TERMINATED
P13 | cache_mgr       | 12 |  8 |  7 | TERMINATED
P14 | user_app_C      | 13 | 30 |  1 | TERMINATED
P15 | scheduler_proc  | 14 |  4 |  9 | TERMINATED
P16 | io_daemon       | 15 | 11 |  6 | TERMINATED
P17 | user_app_D      | 16 | 28 |  2 | TERMINATED
P18 | clock_irq       | 17 |  1 | 10 | TERMINATED
P19 | fs_watcher      | 18 |  9 |  5 | TERMINATED
P20 | user_app_E      | 19 | 35 |  1 | TERMINATED
P21 | net_socket      | 20 |  6 |  7 | TERMINATED
P22 | paging_daemon   | 21 | 13 |  8 | TERMINATED
P23 | user_app_F      | 22 | 27 |  3 | TERMINATED
P24 | sys_monitor     | 23 |  5 |  9 | TERMINATED
P25 | bg_service      | 24 | 20 |  4 | TERMINATED
